first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-11-05,2022 World Triathlon Championship Series Bermuda,23,1:51:43,first,179.94,21,Yes,1179.42,No,# 21,On Track to Qualify
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,32,1:53:11,first,89.21000000000001,23,Yes,1269.61,No,# 23,On Track to Qualify
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-11-05,2022 World Triathlon Championship Series Bermuda,20,1:51:24,first,227.35,25,Yes,1198.61,No,# 25,On Track to Qualify
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-11-13,2022 World Triathlon Cup Vina del Mar,12,0:51:42,first,159.07,11,Yes,1928.9999999999998,No,# 11,On Track to Qualify
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,JUN,2022-11-13,2022 World Triathlon Cup Vina del Mar,3,0:50:56,first,320.86,14,Yes,2269.63,No,# 14,On Track to Qualify
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-11-13,2022 World Triathlon Cup Vina del Mar,1,0:50:52,first,375,22,Yes,1381.63,No,# 22,On Track to Qualify
Morgan,Pearson,Morgan Pearson,United States,USA,2022-11-13,2022 World Triathlon Cup Vina del Mar,50,0:54:39,first,8.22,42,Yes,8.22,Yes,# 42,Not on Track to Qualify
Léo,Bergere,Léo Bergere,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,1,1:44:14,first,1250,1,Yes,4613.200000000001,No,# 1,On Track to Qualify
Alex,Yee,Alex Yee,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,4,1:44:37,first,989.32,2,Yes,3596.4100000000003,No,# 2,On Track to Qualify
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,3,1:44:34,first,1069.53,3,Yes,3936.8499999999995,No,# 3,On Track to Qualify
Vincent,Luis,Vincent Luis,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,7,1:45:19,first,783,4,Yes,3091.3,No,# 4,On Track to Qualify
Hayden,Wilde,Hayden Wilde,New Zealand,NZL,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,6,1:45:13,first,846.48,5,Yes,3155.86,No,# 5,On Track to Qualify
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,10,1:45:26,first,619.71,9,Yes,2213.62,Yes,# 9,On Track to Qualify
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,23,1:46:31,first,224.92000000000002,10,Yes,1884.71,No,# 10,On Track to Qualify
Joao,Silva,Joao Silva,Portugal,POR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,9,1:45:23,first,669.95,12,Yes,2394.2200000000003,No,# 12,On Track to Qualify
Matthew,Hauser,Matthew Hauser,Australia,AUS,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,5,1:44:51,first,915.12,13,Yes,2174.2599999999998,No,# 13,On Track to Qualify
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,17,1:46:09,first,359.07,16,Yes,2090.39,No,# 16,On Track to Qualify
Kenji,Nenner,Kenji Nenner,Japan,JPN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,24,1:46:32,first,208.05,18,Yes,1765.1699999999998,No,# 18,On Track to Qualify
Kristian,Blummenfelt,Kristian Blummenfelt,Norway,NOR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,8,1:45:19,first,724.27,19,Yes,1748.3400000000001,No,# 19,On Track to Qualify
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,12,1:45:41,first,530.24,21,Yes,1709.66,No,# 21,On Track to Qualify
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,25,1:46:35,first,192.45000000000002,22,Yes,1574.0800000000002,No,# 22,On Track to Qualify
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,15,1:46:09,first,419.66,23,Yes,1689.27,No,# 23,On Track to Qualify
