first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Nina,Eim,Nina Eim,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,12,2:07:57,first,212.09,23,Yes,
Nina,Eim,Nina Eim,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,13,0:56:05,first,147.14,23,Yes,
Nina,Eim,Nina Eim,Germany,GER,2022-06-11,2022 World Triathlon Championship Series Leeds,25,1:01:12,first,115.47,23,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,6,1:48:46,first,677.19,24,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,17,1:59:23,first,359.07,24,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,12,1:00:03,first,318.14,24,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-08-28,2022 World Triathlon Cup Bergen,10,1:03:25,first,185.91,24,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-09-03,2022 World Triathlon Cup Valencia,14,0:56:06,first,136.1,24,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,25,0:59:28,first,115.47,24,Yes,
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,31,0:21:49,first,84.38,24,No,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,12,2:05:27,first,424.19,25,Yes,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,14,1:50:19,first,362.95,25,Yes,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,8,2:07:25,first,289.71,25,Yes,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,21,1:59:47,first,262.87,25,Yes,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,9,0:55:55,first,200.99,25,Yes,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,18,0:59:11,first,199.28,25,Yes,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,19,0:59:45,first,184.34,25,No,
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,19,1:56:13,first,127.81,25,No,
Sandra,Dodet,Sandra Dodet,France,FRA,2022-07-24,2022 World Triathlon Cup Pontevedra,3,1:58:08,first,427.81,26,Yes,
Sandra,Dodet,Sandra Dodet,France,FRA,2022-10-15,2022 World Triathlon Cup Tongyeong,4,1:58:18,first,395.73,26,Yes,
Sandra,Dodet,Sandra Dodet,France,FRA,2022-05-28,2022 World Triathlon Cup Arzachena,1,1:00:31,first,375,26,Yes,
Sandra,Dodet,Sandra Dodet,France,FRA,2022-11-13,2022 World Triathlon Cup Vina del Mar,1,0:57:13,first,375,26,Yes,
Sandra,Dodet,Sandra Dodet,France,FRA,2022-10-29,2022 World Triathlon Cup Miyazaki,18,1:02:43,first,99.64,26,Yes,
Sandra,Dodet,Sandra Dodet,France,FRA,2023-03-25,2023 World Triathlon Cup New Plymouth,24,1:06:02,first,62.42,26,Yes,
Sandra,Dodet,Sandra Dodet,France,FRA,2022-08-28,2022 World Triathlon Cup Bergen,39,1:05:50,first,19.38,26,No,
